playlist,danceability,acousticness,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,analysis,like
Dont,0.28,0.655,186914,0.274,0.0,8,0.108,-13.02,1,0.0321,72.093,3,0.134,"AudioFeatures with fields:
  acousticness = 0.655
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0DQheovnM9K...'
  danceability = 0.28
  duration_ms = 186914
  energy = 0.274
  id = '0DQheovnM9K7x84duBWHCa'
  instrumentalness = 0
  key = 8
  liveness = 0.108
  loudness = -13.02
  mode = 1
  speechiness = 0.0321
  tempo = 72.093
  time_signature = 3
  track_href = 'https://api.spotify.com/v1/tracks/0DQheovnM9K7x84duBWHCa'
  type = 'audio_features'
  uri = 'spotify:track:0DQheovnM9K7x84duBWHCa'
  valence = 0.134",0
Dont,0.723,0.0405,211304,0.56,0.000231,0,0.198,-10.831,1,0.0375,124.983,4,0.609,"AudioFeatures with fields:
  acousticness = 0.0405
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/4nrlH76M4Kc...'
  danceability = 0.723
  duration_ms = 211304
  energy = 0.56
  id = '4nrlH76M4KctICbjmJR62p'
  instrumentalness = 0.000231
  key = 0
  liveness = 0.198
  loudness = -10.831
  mode = 1
  speechiness = 0.0375
  tempo = 124.983
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/4nrlH76M4KctICbjmJR62p'
  type = 'audio_features'
  uri = 'spotify:track:4nrlH76M4KctICbjmJR62p'
  valence = 0.609",0
Dont,0.705,0.219,230426,0.542,2.66e-06,5,0.0953,-6.882,1,0.0327,124.064,4,0.869,"AudioFeatures with fields:
  acousticness = 0.219
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1tsgRhI1nXi...'
  danceability = 0.705
  duration_ms = 230426
  energy = 0.542
  id = '1tsgRhI1nXi6osypqmangP'
  instrumentalness = 2.66e-06
  key = 5
  liveness = 0.0953
  loudness = -6.882
  mode = 1
  speechiness = 0.0327
  tempo = 124.064
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1tsgRhI1nXi6osypqmangP'
  type = 'audio_features'
  uri = 'spotify:track:1tsgRhI1nXi6osypqmangP'
  valence = 0.869",0
Dont,0.66,0.719,234929,0.411,0.000218,4,0.0956,-9.356,0,0.0308,107.895,4,0.275,"AudioFeatures with fields:
  acousticness = 0.719
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3bbzeZcfsK0...'
  danceability = 0.66
  duration_ms = 234929
  energy = 0.411
  id = '3bbzeZcfsK0ac7rdN2s7WX'
  instrumentalness = 0.000218
  key = 4
  liveness = 0.0956
  loudness = -9.356
  mode = 0
  speechiness = 0.0308
  tempo = 107.895
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3bbzeZcfsK0ac7rdN2s7WX'
  type = 'audio_features'
  uri = 'spotify:track:3bbzeZcfsK0ac7rdN2s7WX'
  valence = 0.275",0
Dont,0.694,0.595,299147,0.293,0.0154,11,0.132,-16.278,0,0.0431,143.804,4,0.637,"AudioFeatures with fields:
  acousticness = 0.595
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3vxy9D4qd7T...'
  danceability = 0.694
  duration_ms = 299147
  energy = 0.293
  id = '3vxy9D4qd7TO4j6Gi2zmXo'
  instrumentalness = 0.0154
  key = 11
  liveness = 0.132
  loudness = -16.278
  mode = 0
  speechiness = 0.0431
  tempo = 143.804
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3vxy9D4qd7TO4j6Gi2zmXo'
  type = 'audio_features'
  uri = 'spotify:track:3vxy9D4qd7TO4j6Gi2zmXo'
  valence = 0.637",0
Dont,0.874,0.035,293893,0.412,0.00684,0,0.102,-5.746,0,0.0313,105.019,4,0.56,"AudioFeatures with fields:
  acousticness = 0.035
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/7vR8sGqVg5H...'
  danceability = 0.874
  duration_ms = 293893
  energy = 0.412
  id = '7vR8sGqVg5HMEOEvECdzlQ'
  instrumentalness = 0.00684
  key = 0
  liveness = 0.102
  loudness = -5.746
  mode = 0
  speechiness = 0.0313
  tempo = 105.019
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/7vR8sGqVg5HMEOEvECdzlQ'
  type = 'audio_features'
  uri = 'spotify:track:7vR8sGqVg5HMEOEvECdzlQ'
  valence = 0.56",0
Dont,0.766,0.0303,360880,0.438,9.79e-06,4,0.0862,-13.101,0,0.164,82.012,4,0.331,"AudioFeatures with fields:
  acousticness = 0.0303
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3kjpq6QXeJT...'
  danceability = 0.766
  duration_ms = 360880
  energy = 0.438
  id = '3kjpq6QXeJTgPbC1ed8wql'
  instrumentalness = 9.79e-06
  key = 4
  liveness = 0.0862
  loudness = -13.101
  mode = 0
  speechiness = 0.164
  tempo = 82.012
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3kjpq6QXeJTgPbC1ed8wql'
  type = 'audio_features'
  uri = 'spotify:track:3kjpq6QXeJTgPbC1ed8wql'
  valence = 0.331",0
Dont,0.559,0.66,233191,0.726,0.0,3,0.0823,-4.379,1,0.0456,90.052,4,0.182,"AudioFeatures with fields:
  acousticness = 0.66
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/36bYASwok7r...'
  danceability = 0.559
  duration_ms = 233191
  energy = 0.726
  id = '36bYASwok7rBHAkrqiPdnu'
  instrumentalness = 0
  key = 3
  liveness = 0.0823
  loudness = -4.379
  mode = 1
  speechiness = 0.0456
  tempo = 90.052
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/36bYASwok7rBHAkrqiPdnu'
  type = 'audio_features'
  uri = 'spotify:track:36bYASwok7rBHAkrqiPdnu'
  valence = 0.182",0
Dont,0.66,0.719,234929,0.411,0.000218,4,0.0956,-9.356,0,0.0308,107.895,4,0.275,"AudioFeatures with fields:
  acousticness = 0.719
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3bbzeZcfsK0...'
  danceability = 0.66
  duration_ms = 234929
  energy = 0.411
  id = '3bbzeZcfsK0ac7rdN2s7WX'
  instrumentalness = 0.000218
  key = 4
  liveness = 0.0956
  loudness = -9.356
  mode = 0
  speechiness = 0.0308
  tempo = 107.895
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3bbzeZcfsK0ac7rdN2s7WX'
  type = 'audio_features'
  uri = 'spotify:track:3bbzeZcfsK0ac7rdN2s7WX'
  valence = 0.275",0
Dont,0.719,0.0902,262867,0.835,0.00431,9,0.331,-7.391,1,0.0426,139.985,4,0.961,"AudioFeatures with fields:
  acousticness = 0.0902
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/7DbE178OOsJ...'
  danceability = 0.719
  duration_ms = 262867
  energy = 0.835
  id = '7DbE178OOsJfJKyiNObOsw'
  instrumentalness = 0.00431
  key = 9
  liveness = 0.331
  loudness = -7.391
  mode = 1
  speechiness = 0.0426
  tempo = 139.985
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/7DbE178OOsJfJKyiNObOsw'
  type = 'audio_features'
  uri = 'spotify:track:7DbE178OOsJfJKyiNObOsw'
  valence = 0.961",0
Dont,0.587,0.723,229500,0.931,1.55e-05,1,0.168,-4.912,0,0.0654,82.0,4,0.643,"AudioFeatures with fields:
  acousticness = 0.723
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5KhKH476zkj...'
  danceability = 0.587
  duration_ms = 229500
  energy = 0.931
  id = '5KhKH476zkjKxraMZIo6in'
  instrumentalness = 1.55e-05
  key = 1
  liveness = 0.168
  loudness = -4.912
  mode = 0
  speechiness = 0.0654
  tempo = 82.0
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5KhKH476zkjKxraMZIo6in'
  type = 'audio_features'
  uri = 'spotify:track:5KhKH476zkjKxraMZIo6in'
  valence = 0.643",0
Dont,0.758,0.138,196173,0.877,1.92e-05,7,0.085,-5.047,1,0.0806,108.011,4,0.707,"AudioFeatures with fields:
  acousticness = 0.138
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/78LZUVqzZzs...'
  danceability = 0.758
  duration_ms = 196173
  energy = 0.877
  id = '78LZUVqzZzsuNfT6G782pP'
  instrumentalness = 1.92e-05
  key = 7
  liveness = 0.085
  loudness = -5.047
  mode = 1
  speechiness = 0.0806
  tempo = 108.011
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/78LZUVqzZzsuNfT6G782pP'
  type = 'audio_features'
  uri = 'spotify:track:78LZUVqzZzsuNfT6G782pP'
  valence = 0.707",0
Dont,0.692,0.00694,250477,0.823,0.00465,5,0.175,-7.523,0,0.0377,140.016,4,0.648,"AudioFeatures with fields:
  acousticness = 0.00694
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/723AGdZ1hCe...'
  danceability = 0.692
  duration_ms = 250477
  energy = 0.823
  id = '723AGdZ1hCe8pgPkGxu95J'
  instrumentalness = 0.00465
  key = 5
  liveness = 0.175
  loudness = -7.523
  mode = 0
  speechiness = 0.0377
  tempo = 140.016
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/723AGdZ1hCe8pgPkGxu95J'
  type = 'audio_features'
  uri = 'spotify:track:723AGdZ1hCe8pgPkGxu95J'
  valence = 0.648",0
Dont,0.827,0.0316,187711,0.737,0.000322,11,0.211,-5.473,0,0.0764,121.99,4,0.873,"AudioFeatures with fields:
  acousticness = 0.0316
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3Q8yDujnXxw...'
  danceability = 0.827
  duration_ms = 187711
  energy = 0.737
  id = '3Q8yDujnXxwRiZ4p6VqY7b'
  instrumentalness = 0.000322
  key = 11
  liveness = 0.211
  loudness = -5.473
  mode = 0
  speechiness = 0.0764
  tempo = 121.99
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3Q8yDujnXxwRiZ4p6VqY7b'
  type = 'audio_features'
  uri = 'spotify:track:3Q8yDujnXxwRiZ4p6VqY7b'
  valence = 0.873",0
Dont,0.771,0.25,289724,0.826,7.23e-05,8,0.817,-5.798,1,0.319,144.966,4,0.646,"AudioFeatures with fields:
  acousticness = 0.25
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/6fekFbmemX0...'
  danceability = 0.771
  duration_ms = 289724
  energy = 0.826
  id = '6fekFbmemX0Pj1E6VgR47n'
  instrumentalness = 7.23e-05
  key = 8
  liveness = 0.817
  loudness = -5.798
  mode = 1
  speechiness = 0.319
  tempo = 144.966
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/6fekFbmemX0Pj1E6VgR47n'
  type = 'audio_features'
  uri = 'spotify:track:6fekFbmemX0Pj1E6VgR47n'
  valence = 0.646",0
Dont,0.398,0.606,217038,0.942,0.0,8,0.344,-4.118,0,0.41,75.086,4,0.765,"AudioFeatures with fields:
  acousticness = 0.606
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/35hp2gFs4G0...'
  danceability = 0.398
  duration_ms = 217038
  energy = 0.942
  id = '35hp2gFs4G0EpBDYsJHMAj'
  instrumentalness = 0
  key = 8
  liveness = 0.344
  loudness = -4.118
  mode = 0
  speechiness = 0.41
  tempo = 75.086
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/35hp2gFs4G0EpBDYsJHMAj'
  type = 'audio_features'
  uri = 'spotify:track:35hp2gFs4G0EpBDYsJHMAj'
  valence = 0.765",0
Dont,0.803,0.143,380996,0.795,3.8e-05,4,0.0706,-7.429,0,0.0337,99.008,4,0.749,"AudioFeatures with fields:
  acousticness = 0.143
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3PzkxdshpgS...'
  danceability = 0.803
  duration_ms = 380996
  energy = 0.795
  id = '3PzkxdshpgSkWrEeVqTsDe'
  instrumentalness = 3.8e-05
  key = 4
  liveness = 0.0706
  loudness = -7.429
  mode = 0
  speechiness = 0.0337
  tempo = 99.008
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3PzkxdshpgSkWrEeVqTsDe'
  type = 'audio_features'
  uri = 'spotify:track:3PzkxdshpgSkWrEeVqTsDe'
  valence = 0.749",0
Dont,0.805,0.00529,270373,0.744,2.93e-05,9,0.0901,-4.898,0,0.0533,114.074,4,0.824,"AudioFeatures with fields:
  acousticness = 0.00529
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5ensPSgQkRM...'
  danceability = 0.805
  duration_ms = 270373
  energy = 0.744
  id = '5ensPSgQkRM60i8ZH3S9wG'
  instrumentalness = 2.93e-05
  key = 9
  liveness = 0.0901
  loudness = -4.898
  mode = 0
  speechiness = 0.0533
  tempo = 114.074
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5ensPSgQkRM60i8ZH3S9wG'
  type = 'audio_features'
  uri = 'spotify:track:5ensPSgQkRM60i8ZH3S9wG'
  valence = 0.824",0
Dont,0.829,0.0153,243000,0.733,0.00834,6,0.112,-9.493,1,0.0381,100.011,4,0.936,"AudioFeatures with fields:
  acousticness = 0.0153
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0Tr96i1fHT4...'
  danceability = 0.829
  duration_ms = 243000
  energy = 0.733
  id = '0Tr96i1fHT4YhdYh5pXHUk'
  instrumentalness = 0.00834
  key = 6
  liveness = 0.112
  loudness = -9.493
  mode = 1
  speechiness = 0.0381
  tempo = 100.011
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0Tr96i1fHT4YhdYh5pXHUk'
  type = 'audio_features'
  uri = 'spotify:track:0Tr96i1fHT4YhdYh5pXHUk'
  valence = 0.936",0
Dont,0.535,0.983,278011,0.106,0.949,5,0.0928,-22.386,1,0.0411,100.012,4,0.0342,"AudioFeatures with fields:
  acousticness = 0.983
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5M88pavKSWf...'
  danceability = 0.535
  duration_ms = 278011
  energy = 0.106
  id = '5M88pavKSWfH8YEjNHDNP6'
  instrumentalness = 0.949
  key = 5
  liveness = 0.0928
  loudness = -22.386
  mode = 1
  speechiness = 0.0411
  tempo = 100.012
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5M88pavKSWfH8YEjNHDNP6'
  type = 'audio_features'
  uri = 'spotify:track:5M88pavKSWfH8YEjNHDNP6'
  valence = 0.0342",0
Dont,0.833,0.0166,230547,0.754,0.0,2,0.246,-7.555,1,0.0513,108.001,4,0.65,"AudioFeatures with fields:
  acousticness = 0.0166
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/31phvnfUfwz...'
  danceability = 0.833
  duration_ms = 230547
  energy = 0.754
  id = '31phvnfUfwzi0nf3dO814j'
  instrumentalness = 0
  key = 2
  liveness = 0.246
  loudness = -7.555
  mode = 1
  speechiness = 0.0513
  tempo = 108.001
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/31phvnfUfwzi0nf3dO814j'
  type = 'audio_features'
  uri = 'spotify:track:31phvnfUfwzi0nf3dO814j'
  valence = 0.65",0
Dont,0.638,0.0194,1220025,0.807,9.61e-05,0,0.112,-5.518,1,0.0485,130.005,4,0.513,"AudioFeatures with fields:
  acousticness = 0.0194
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5DNYHmyjsFb...'
  danceability = 0.638
  duration_ms = 1220025
  energy = 0.807
  id = '5DNYHmyjsFba5yjvQYljpd'
  instrumentalness = 9.61e-05
  key = 0
  liveness = 0.112
  loudness = -5.518
  mode = 1
  speechiness = 0.0485
  tempo = 130.005
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5DNYHmyjsFba5yjvQYljpd'
  type = 'audio_features'
  uri = 'spotify:track:5DNYHmyjsFba5yjvQYljpd'
  valence = 0.513",0
Dont,0.752,0.123,215487,0.925,5.83e-05,9,0.504,-4.73,0,0.0574,129.995,4,0.844,"AudioFeatures with fields:
  acousticness = 0.123
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0ZcRMN1BfY3...'
  danceability = 0.752
  duration_ms = 215487
  energy = 0.925
  id = '0ZcRMN1BfY3VbdbOLVvitV'
  instrumentalness = 5.83e-05
  key = 9
  liveness = 0.504
  loudness = -4.73
  mode = 0
  speechiness = 0.0574
  tempo = 129.995
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0ZcRMN1BfY3VbdbOLVvitV'
  type = 'audio_features'
  uri = 'spotify:track:0ZcRMN1BfY3VbdbOLVvitV'
  valence = 0.844",0
Dont,0.655,0.0166,437560,0.629,0.014,4,0.046,-13.061,0,0.0558,83.928,4,0.5,"AudioFeatures with fields:
  acousticness = 0.0166
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3GOOq8Et4g3...'
  danceability = 0.655
  duration_ms = 437560
  energy = 0.629
  id = '3GOOq8Et4g3M0DPMVyO7EU'
  instrumentalness = 0.014
  key = 4
  liveness = 0.046
  loudness = -13.061
  mode = 0
  speechiness = 0.0558
  tempo = 83.928
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3GOOq8Et4g3M0DPMVyO7EU'
  type = 'audio_features'
  uri = 'spotify:track:3GOOq8Et4g3M0DPMVyO7EU'
  valence = 0.5",0
Dont,0.783,0.0303,398933,0.617,0.0545,11,0.123,-13.471,0,0.0362,122.96,4,0.55,"AudioFeatures with fields:
  acousticness = 0.0303
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1NEgepubbda...'
  danceability = 0.783
  duration_ms = 398933
  energy = 0.617
  id = '1NEgepubbda5aoNj2rBm8v'
  instrumentalness = 0.0545
  key = 11
  liveness = 0.123
  loudness = -13.471
  mode = 0
  speechiness = 0.0362
  tempo = 122.96
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1NEgepubbda5aoNj2rBm8v'
  type = 'audio_features'
  uri = 'spotify:track:1NEgepubbda5aoNj2rBm8v'
  valence = 0.55",0
